time_min,power_mW
0.0,20.551
0.08333333333333333,20.554
0.16666666666666666,20.573
0.25,20.575
0.3333333333333333,20.579
0.41666666666666663,20.587
0.5,20.582
0.5833333333333333,20.592
0.6666666666666666,20.594
0.75,20.608
0.8333333333333333,20.606
0.9166666666666666,20.598
1.0,20.601
1.0833333333333333,20.58
1.1666666666666665,20.579
1.25,20.591
1.3333333333333333,20.593
1.4166666666666665,20.591
1.5,20.598
1.5833333333333333,20.6
1.6666666666666665,20.598
1.75,20.586
1.8333333333333333,20.586
1.9166666666666665,20.595
2.0,20.579
2.083333333333333,20.603
2.1666666666666665,20.593
2.25,20.584
2.333333333333333,20.586
2.4166666666666665,20.584
2.5,20.584
2.583333333333333,20.589
2.6666666666666665,20.586
2.75,20.581
2.833333333333333,20.573
2.9166666666666665,20.605
3.0,20.604
3.083333333333333,20.598
