time_min,power_mW
0.0,20.283
0.08333333333333333,20.293
0.16666666666666666,20.315
0.25,20.332
0.3333333333333333,20.342
0.41666666666666663,20.327
0.5,20.336
0.5833333333333333,20.352
0.6666666666666666,20.359
0.75,20.357
0.8333333333333333,20.361
0.9166666666666666,20.354
1.0,20.357
1.0833333333333333,20.34
1.1666666666666665,20.325
1.25,20.331
1.3333333333333333,20.319
1.4166666666666665,20.318
1.5,20.321
1.5833333333333333,20.333
1.6666666666666665,20.341
1.75,20.336
1.8333333333333333,20.334
1.9166666666666665,20.321
2.0,20.322
2.083333333333333,20.345
2.1666666666666665,20.344
2.25,20.35
2.333333333333333,20.339
2.4166666666666665,20.335
2.5,20.327
2.583333333333333,20.338
2.6666666666666665,20.345
2.75,20.349
2.833333333333333,20.352
2.9166666666666665,20.347
3.0,20.335
3.083333333333333,20.335
