	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.121_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/7/2022 12:33:01 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	68,08	-6,70	1,26	6,81	169,37	0,00	0,00	0,00	0,00	28,91	31,45	33,36	34,86	36,10	37,32	38,08	38,94	39,79	40,66	40,99	41,24	41,16	40,81	40,24	39,19	38,12	37,10	35,91	34,79	33,85	33,30	32,92	33,25	34,17	35,70	38,44	41,64	45,66	50,27	55,56	60,38	65,15	69,31	73,14
     1 	b.121_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/7/2022 12:33:01 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	68,33	-6,62	1,43	6,77	167,80	0,00	0,00	0,00	0,00	29,07	31,61	33,52	35,04	36,29	37,52	38,28	39,15	40,02	40,90	41,25	41,52	41,46	41,12	40,58	39,55	38,49	37,48	36,29	35,18	34,25	33,70	33,34	33,68	34,60	36,15	38,91	42,11	46,14	50,75	56,03	60,82	65,59	69,74	73,54
     2 	b.122_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/7/2022 12:33:15 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	68,04	-6,36	1,12	6,46	170,05	0,00	0,00	0,00	0,00	29,18	31,74	33,54	35,10	36,28	37,25	38,11	38,98	39,75	40,35	40,81	41,05	40,92	40,64	40,01	39,03	38,17	37,13	35,95	34,98	33,89	33,49	33,08	33,30	34,24	35,84	38,23	41,30	45,15	49,48	54,55	59,31	64,04	68,31	72,16
     2 	b.122_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/7/2022 12:33:15 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	68,29	-6,30	1,30	6,43	168,37	0,00	0,00	0,00	0,00	29,33	31,89	33,70	35,27	36,46	37,44	38,31	39,19	39,98	40,61	41,08	41,33	41,23	40,96	40,35	39,39	38,55	37,51	36,33	35,37	34,28	33,89	33,48	33,71	34,66	36,26	38,67	41,75	45,59	49,93	54,99	59,74	64,46	68,73	72,56
     3 	b.123_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/7/2022 12:33:28 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	66,96	-6,22	1,31	6,36	168,12	0,00	0,00	0,00	0,00	27,85	30,50	32,07	33,53	34,64	35,68	36,54	37,36	38,12	38,84	39,19	39,49	39,40	39,06	38,53	37,55	36,62	35,63	34,55	33,57	32,70	32,35	31,95	32,29	33,14	34,76	37,21	40,37	44,31	48,86	54,08	58,96	63,85	68,16	72,11
     3 	b.123_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/7/2022 12:33:28 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	67,21	-6,16	1,48	6,34	166,51	0,00	0,00	0,00	0,00	28,01	30,67	32,24	33,71	34,83	35,88	36,74	37,58	38,36	39,10	39,46	39,78	39,70	39,37	38,87	37,91	36,99	36,00	34,92	33,95	33,08	32,74	32,35	32,70	33,55	35,19	37,67	40,83	44,77	49,33	54,56	59,43	64,32	68,62	72,54
     4 	b.124_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/7/2022 12:34:03 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	60,70	-11,96	-9,08	15,02	217,22	0,00	0,00	0,00	0,00	30,23	32,90	34,67	35,27	35,60	35,43	35,25	35,38	35,67	35,99	36,00	35,80	35,00	33,75	31,96	29,83	27,76	25,80	23,99	22,44	21,12	20,12	19,32	18,92	18,91	19,36	20,24	21,74	24,12	27,23	31,44	36,28	42,37	48,74	56,14
     4 	b.124_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/7/2022 12:34:03 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	60,89	-11,93	-8,92	14,89	216,78	0,00	0,00	0,00	0,00	30,32	33,00	34,77	35,37	35,72	35,56	35,38	35,53	35,82	36,17	36,19	36,01	35,22	33,97	32,20	30,08	28,01	26,05	24,23	22,68	21,36	20,36	19,55	19,15	19,13	19,59	20,48	21,98	24,37	27,49	31,70	36,55	42,64	49,01	56,39
     5 	b.125_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/7/2022 12:34:17 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	59,92	-11,52	-9,16	14,71	218,50	0,00	0,00	0,00	0,00	29,64	32,20	33,83	34,40	34,58	34,51	34,32	34,47	34,62	35,00	34,86	34,58	33,89	32,56	30,94	28,86	26,85	25,06	23,34	21,85	20,60	19,69	18,88	18,51	18,47	18,90	19,71	21,24	23,48	26,44	30,44	35,09	40,94	47,17	54,48
     5 	b.125_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/7/2022 12:34:17 PM	2/7/2022 12:30:46 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	60,14	-11,47	-8,98	14,57	218,07	0,00	0,00	0,00	0,00	29,77	32,33	33,96	34,54	34,72	34,64	34,46	34,62	34,78	35,18	35,07	34,80	34,11	32,80	31,19	29,12	27,12	25,33	23,60	22,11	20,86	19,95	19,13	18,76	18,70	19,14	19,95	21,49	23,73	26,70	30,70	35,35	41,22	47,46	54,76
