	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.211_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/21/2022 2:42:15 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	78,28	-2,55	8,75	9,11	106,28	0,00	0,00	0,00	0,00	31,09	34,75	38,08	41,23	43,77	45,99	47,48	48,96	50,21	51,40	52,10	53,02	53,83	54,25	54,83	54,88	54,75	54,69	54,34	53,76	53,33	53,49	53,80	54,59	56,04	58,43	61,41	64,68	68,18	71,47	74,45	76,68	78,59	80,10	81,37
     1 	b.211_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/21/2022 2:42:15 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	78,59	-2,49	8,94	9,28	105,58	0,00	0,00	0,00	0,00	31,32	35,00	38,34	41,50	44,07	46,30	47,81	49,30	50,58	51,78	52,51	53,46	54,31	54,75	55,36	55,44	55,33	55,30	54,97	54,39	53,96	54,13	54,46	55,25	56,70	59,12	62,11	65,36	68,87	72,16	75,12	77,34	79,22	80,73	81,96
     2 	b.212_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/21/2022 2:42:29 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	77,82	-3,00	8,26	8,79	109,98	0,00	0,00	0,00	0,00	31,04	34,92	38,02	40,98	43,58	45,65	47,18	48,63	49,86	51,12	51,64	52,63	53,37	53,82	54,11	54,06	54,01	53,84	53,36	52,81	52,23	52,06	52,30	53,02	54,43	56,74	59,69	63,07	66,71	70,12	73,23	75,61	77,60	79,25	80,67
     2 	b.212_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/21/2022 2:42:29 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	78,12	-2,93	8,47	8,96	109,07	0,00	0,00	0,00	0,00	31,26	35,15	38,25	41,21	43,84	45,91	47,45	48,92	50,17	51,45	52,01	53,03	53,81	54,27	54,60	54,59	54,56	54,42	53,95	53,41	52,83	52,69	52,93	53,66	55,06	57,40	60,36	63,73	67,36	70,78	73,86	76,24	78,20	79,85	81,24
     3 	b.213_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/21/2022 2:42:42 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	78,35	-2,67	8,76	9,16	106,95	0,00	0,00	0,00	0,00	30,93	34,99	38,21	41,27	43,84	46,05	47,61	49,07	50,32	51,66	52,23	53,15	54,03	54,50	54,91	54,94	54,91	54,88	54,44	53,95	53,57	53,41	53,62	54,49	56,03	58,25	61,32	64,55	68,17	71,54	74,67	76,98	78,88	80,41	81,76
     3 	b.213_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/21/2022 2:42:42 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	78,63	-2,60	8,96	9,33	106,22	0,00	0,00	0,00	0,00	31,12	35,19	38,41	41,49	44,07	46,30	47,87	49,35	50,61	51,98	52,58	53,53	54,44	54,94	55,38	55,44	55,43	55,43	55,00	54,52	54,15	54,00	54,22	55,09	56,63	58,87	61,95	65,17	68,81	72,17	75,28	77,58	79,46	80,97	82,29
     4 	b.214_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/21/2022 2:43:16 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	72,96	-11,71	0,10	11,71	179,50	0,00	0,00	0,00	0,00	33,23	37,48	40,57	43,00	44,23	45,28	45,97	46,87	47,84	48,94	49,59	50,50	51,01	50,74	49,80	48,07	46,00	43,85	41,49	39,31	37,33	35,92	34,63	33,80	33,49	33,95	35,11	36,84	39,65	43,37	48,04	53,17	58,89	64,34	69,94
     4 	b.214_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/21/2022 2:43:16 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	73,22	-11,66	0,31	11,66	178,48	0,00	0,00	0,00	0,00	33,37	37,62	40,73	43,17	44,41	45,48	46,17	47,11	48,09	49,21	49,89	50,83	51,37	51,12	50,20	48,50	46,43	44,29	41,94	39,76	37,75	36,34	35,05	34,21	33,90	34,35	35,52	37,24	40,06	43,78	48,46	53,59	59,32	64,78	70,37
     5 	b.215_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/21/2022 2:43:29 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	72,69	-11,57	-0,05	11,57	180,24	0,00	0,00	0,00	0,00	33,42	37,41	40,65	42,70	43,97	45,03	45,63	46,52	47,38	48,58	49,16	50,05	50,50	50,22	49,38	47,58	45,53	43,40	41,06	38,99	37,09	35,60	34,36	33,55	33,26	33,63	34,82	36,45	39,21	42,64	47,33	52,38	58,02	63,55	69,19
     5 	b.215_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/21/2022 2:43:29 PM	2/21/2022 2:41:06 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	72,97	-11,52	0,15	11,52	179,24	0,00	0,00	0,00	0,00	33,61	37,61	40,86	42,91	44,20	45,26	45,88	46,79	47,67	48,89	49,50	50,42	50,89	50,63	49,82	48,05	46,00	43,88	41,55	39,47	37,54	36,05	34,81	33,98	33,68	34,05	35,25	36,87	39,63	43,08	47,76	52,81	58,45	63,98	69,61
