	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.023_CAL01-C01_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:15:06	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	93,58	-0,94	-2,97	3,11	252,52	0,00	0,00	0,00	0,00	35,31	55,09	78,79	90,17	92,67	91,20	90,41	90,07	88,95	88,16	87,28	86,40	85,51	84,81	84,38	83,84	83,00	82,53	82,03	81,79	81,77	81,88	82,23	83,14	83,83	84,84	85,97	87,17	88,53	90,16	91,30	92,23	93,15	93,92	94,40
     1 	b.023_CAL01-C01_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:15:06	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	92,54	-0,91	-2,83	2,97	252,08	0,00	0,00	0,00	0,00	32,42	52,22	75,98	87,42	89,97	88,56	87,81	87,52	86,42	85,65	84,81	83,94	83,07	82,39	81,98	81,45	80,63	80,19	79,72	79,50	79,50	79,65	80,03	80,97	81,69	82,73	83,88	85,09	86,47	88,11	89,24	90,18	91,09	91,87	92,33
     2 	b.024_CAL01-C02_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:15:16	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	91,61	-5,27	-5,60	7,69	226,75	0,00	0,00	0,00	0,00	35,19	54,02	77,44	88,67	91,29	90,37	89,54	89,24	88,33	87,27	86,28	85,35	84,20	83,11	82,10	80,84	79,19	77,70	75,85	74,02	72,37	71,02	70,22	70,02	69,77	70,06	71,06	72,79	75,55	78,82	81,92	84,66	87,09	89,03	90,77
     2 	b.024_CAL01-C02_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:15:16	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	90,62	-5,38	-5,55	7,73	225,87	0,00	0,00	0,00	0,00	32,58	51,44	74,91	86,19	88,85	87,98	87,18	86,93	86,05	85,01	84,04	83,13	81,99	80,91	79,92	78,67	77,02	75,54	73,69	71,88	70,23	68,89	68,11	67,92	67,68	68,01	69,03	70,78	73,55	76,85	79,97	82,71	85,15	87,10	88,84
     3 	b.025_CAL01-C03_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:15:27	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	88,39	-11,21	-9,61	14,77	220,60	0,00	0,00	0,00	0,00	34,21	52,43	74,67	85,95	89,06	88,24	87,65	87,56	86,60	85,49	84,38	83,04	81,40	79,74	77,96	75,37	72,33	69,42	65,97	62,28	58,86	56,27	54,56	53,63	52,71	52,49	53,27	55,42	59,05	63,69	68,71	73,32	77,58	81,18	84,53
     3 	b.025_CAL01-C03_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:15:27	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	87,28	-11,52	-9,67	15,04	220,02	0,00	0,00	0,00	0,00	31,51	49,76	72,04	83,38	86,54	85,77	85,23	85,18	84,24	83,15	82,07	80,74	79,11	77,46	75,68	73,09	70,05	67,13	63,68	59,99	56,56	53,98	52,27	51,35	50,45	50,25	51,05	53,23	56,89	61,57	66,62	71,27	75,55	79,19	82,56
     4 	b.026_CAL01-C04_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:15:37	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	84,78	-16,91	-13,85	21,86	219,31	0,00	0,00	0,00	0,00	33,03	50,17	71,40	82,52	85,97	85,66	85,42	85,45	84,42	83,16	81,80	80,25	77,97	75,45	72,67	68,84	64,46	60,15	55,46	50,60	46,11	42,83	40,82	39,64	38,46	38,13	38,72	40,95	44,93	50,14	56,11	61,77	67,37	72,38	77,23
     4 	b.026_CAL01-C04_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:15:37	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	83,60	-17,45	-14,05	22,40	218,86	0,00	0,00	0,00	0,00	30,40	47,57	68,85	80,03	83,53	83,28	83,07	83,15	82,14	80,90	79,56	78,01	75,74	73,22	70,42	66,58	62,19	57,86	53,17	48,29	43,78	40,50	38,49	37,31	36,15	35,84	36,47	38,73	42,74	47,99	54,00	59,69	65,33	70,37	75,24
     5 	b.027_CAL01-C05_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:15:47	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	81,08	-21,66	-17,82	28,05	219,44	0,00	0,00	0,00	0,00	31,66	47,47	67,60	78,59	82,52	82,65	82,69	82,74	81,77	80,44	78,76	76,68	73,90	70,66	66,68	61,85	56,51	51,26	45,87	40,48	35,50	32,05	30,03	28,89	27,76	27,32	27,98	30,10	33,99	39,12	45,37	51,52	57,79	63,65	69,70
     5 	b.027_CAL01-C05_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:15:47	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	79,71	-22,47	-18,19	28,91	219,00	0,00	0,00	0,00	0,00	28,91	44,76	64,93	75,97	79,94	80,12	80,20	80,30	79,35	78,03	76,37	74,30	71,50	68,27	64,28	59,42	54,06	48,80	43,39	37,98	32,98	29,53	27,51	26,37	25,27	24,86	25,55	27,69	31,62	36,79	43,09	49,28	55,59	61,48	67,54
     6 	b.028_CAL01-C06_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:15:58	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	77,64	-25,34	-21,23	33,06	219,95	0,00	0,00	0,00	0,00	30,21	44,64	63,86	74,72	78,94	79,63	79,80	79,94	78,96	77,59	75,62	73,01	69,69	65,70	61,15	55,44	49,36	43,69	37,93	32,30	27,38	24,07	22,15	21,21	20,25	19,94	20,38	22,28	25,83	30,81	36,87	43,15	49,75	56,00	62,80
     6 	b.028_CAL01-C06_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:15:58	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	76,08	-26,45	-21,80	34,28	219,49	0,00	0,00	0,00	0,00	27,39	41,85	61,11	72,01	76,27	77,00	77,22	77,38	76,43	75,07	73,11	70,51	67,17	63,17	58,60	52,87	46,76	41,08	35,30	29,65	24,71	21,39	19,47	18,53	17,59	17,31	17,78	19,71	23,30	28,33	34,43	40,75	47,39	53,68	60,51
     7 	b.029_CAL01-C07_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:16:17	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	73,79	-28,72	-24,67	37,86	220,66	0,00	0,00	0,00	0,00	28,11	41,52	59,17	69,92	74,62	75,80	76,35	76,46	75,55	73,85	71,63	68,61	64,70	60,24	54,71	48,39	41,91	36,09	30,19	24,65	19,87	16,91	15,43	14,64	14,16	13,68	14,33	15,86	18,90	23,32	28,99	35,00	41,65	48,07	55,43
     7 	b.029_CAL01-C07_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:16:17	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	71,89	-30,30	-25,51	39,61	220,10	0,00	0,00	0,00	0,00	25,02	38,46	56,14	66,93	71,67	72,89	73,47	73,63	72,74	71,05	68,84	65,81	61,88	57,40	51,86	45,51	39,00	33,16	27,24	21,69	16,89	13,93	12,46	11,67	11,21	10,75	11,44	13,01	16,09	20,55	26,27	32,32	39,01	45,47	52,85
     8 	b.030_CAL01-C08_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:16:27	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	68,48	-31,70	-28,70	42,76	222,16	0,00	0,00	0,00	0,00	25,26	36,73	52,42	62,75	68,10	69,90	70,73	71,17	70,03	68,18	65,45	61,92	57,36	52,13	46,00	39,28	32,64	26,88	21,30	16,30	12,39	10,15	9,24	9,02	8,61	8,60	8,93	10,10	12,29	15,75	20,37	25,68	31,87	38,27	45,86
     8 	b.030_CAL01-C08_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:16:27	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	66,06	-34,08	-29,99	45,40	221,35	0,00	0,00	0,00	0,00	21,81	33,31	49,05	59,44	64,83	66,67	67,54	68,01	66,90	65,07	62,34	58,80	54,21	48,95	42,79	36,05	29,38	23,60	18,00	12,99	9,07	6,84	5,94	5,73	5,35	5,35	5,72	6,92	9,16	12,66	17,32	22,68	28,90	35,34	42,94
     9 	b.031_CAL01-C09_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:16:37	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	65,31	-32,36	-30,68	44,59	223,47	0,00	0,00	0,00	0,00	23,26	33,64	48,13	58,34	63,83	66,03	67,19	67,53	66,48	64,41	61,40	57,49	52,70	47,20	40,92	34,18	27,71	22,10	17,03	12,57	9,32	7,66	7,07	6,97	6,81	6,80	7,09	7,90	9,66	12,33	16,29	21,04	26,74	32,90	40,49
     9 	b.031_CAL01-C09_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:16:37	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	62,54	-35,26	-32,29	47,81	222,48	0,00	0,00	0,00	0,00	19,68	30,09	44,62	54,86	60,39	62,63	63,82	64,20	63,16	61,11	58,10	54,18	49,36	43,84	37,53	30,77	24,28	18,65	13,56	9,09	5,84	4,19	3,61	3,52	3,39	3,40	3,72	4,57	6,37	9,08	13,09	17,87	23,61	29,81	37,43
    10 	b.032_CAL01-C10_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:16:48	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	63,70	-32,02	-31,66	45,03	224,68	0,00	0,00	0,00	0,00	22,44	32,22	46,20	56,12	61,92	64,19	65,31	65,61	64,53	62,33	59,11	55,00	50,07	44,61	38,30	31,61	25,46	20,15	15,24	11,10	8,23	6,82	6,38	6,31	6,18	6,21	6,44	7,19	8,54	11,06	14,60	19,01	24,46	30,41	37,89
    10 	b.032_CAL01-C10_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:16:48	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	60,75	-35,13	-33,43	48,50	223,58	0,00	0,00	0,00	0,00	18,77	28,58	42,60	52,57	58,41	60,71	61,87	62,21	61,15	58,96	55,75	51,62	46,65	41,18	34,85	28,15	21,97	16,64	11,72	7,58	4,70	3,30	2,87	2,81	2,69	2,75	3,01	3,78	5,18	7,73	11,31	15,76	21,25	27,23	34,73
    11 	b.033_CAL01-C11_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:17:02	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	63,14	-31,66	-32,17	45,14	225,46	0,00	0,00	0,00	0,00	22,38	32,05	45,73	55,64	61,24	63,80	64,94	65,17	63,94	61,68	58,26	54,11	49,11	43,53	37,38	30,73	24,66	19,51	14,69	10,67	7,90	6,59	6,18	6,13	6,02	6,05	6,25	6,99	8,29	10,57	14,01	18,33	23,72	29,65	37,10
    11 	b.033_CAL01-C11_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:17:02	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	60,03	-34,93	-34,08	48,80	224,29	0,00	0,00	0,00	0,00	18,58	28,27	42,00	51,96	57,61	60,21	61,38	61,65	60,44	58,18	54,77	50,60	45,58	39,98	33,80	27,13	21,04	15,88	11,05	7,02	4,24	2,95	2,54	2,50	2,41	2,46	2,69	3,46	4,80	7,12	10,60	14,95	20,38	26,34	33,82
    12 	r.023_CAL01-M01_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:17:33	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	92,90	1,37	-3,81	4,05	289,81	0,00	0,00	0,00	0,00	35,43	55,27	79,12	90,07	92,37	90,91	89,92	89,28	88,01	86,60	85,37	84,05	82,70	81,78	81,18	80,53	80,21	80,46	80,96	81,66	82,34	83,19	83,89	85,13	86,20	87,27	88,65	89,67	90,88	92,08	92,79	93,49	94,07	94,58	94,79
    12 	r.023_CAL01-M01_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:17:33	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	91,72	1,44	-3,74	4,01	291,08	0,00	0,00	0,00	0,00	32,39	52,24	76,14	87,15	89,48	88,06	87,10	86,50	85,25	83,85	82,65	81,34	79,97	79,08	78,49	77,85	77,55	77,82	78,35	79,07	79,77	80,65	81,38	82,64	83,75	84,84	86,24	87,29	88,50	89,72	90,43	91,14	91,71	92,23	92,42
    13 	r.024_CAL01-M02_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:17:44	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	89,26	7,34	-8,33	11,10	311,39	0,00	0,00	0,00	0,00	35,56	55,04	78,25	89,01	91,14	89,20	87,63	85,92	83,44	80,59	77,65	74,73	72,17	70,31	69,11	68,24	68,58	70,48	73,38	76,47	79,13	81,20	82,70	84,43	85,84	87,01	88,46	89,51	90,89	92,05	92,92	93,47	94,04	94,64	94,83
    13 	r.024_CAL01-M02_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:17:44	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	87,99	7,60	-8,36	11,30	312,27	0,00	0,00	0,00	0,00	32,46	51,96	75,22	86,04	88,22	86,33	84,79	83,12	80,66	77,81	74,90	71,98	69,42	67,57	66,38	65,53	65,89	67,83	70,76	73,89	76,59	78,72	80,26	82,02	83,46	84,67	86,16	87,22	88,62	89,78	90,66	91,21	91,79	92,39	92,56
    14 	r.025_CAL01-M03_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 11:17:55	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	83,74	15,89	-14,48	21,50	317,67	0,00	0,00	0,00	0,00	35,10	53,99	76,44	86,78	88,20	85,77	82,85	79,83	75,46	70,90	66,17	61,28	57,80	55,35	53,77	52,81	53,64	57,03	62,23	67,98	73,13	77,23	80,19	82,74	84,70	86,20	87,86	89,18	90,62	91,75	92,67	93,31	93,96	94,46	94,73
    14 	r.025_CAL01-M03_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 11:17:55	31/01/2022 10:54:13	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	82,30	16,48	-14,73	22,11	318,21	0,00	0,00	0,00	0,00	32,06	50,98	73,48	83,86	85,31	82,91	80,02	77,03	72,66	68,10	63,37	58,46	54,98	52,54	50,98	50,04	50,90	54,32	59,58	65,38	70,58	74,74	77,75	80,35	82,36	83,90	85,61	86,95	88,42	89,56	90,48	91,13	91,77	92,27	92,53
