	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.031_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:07:00	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	47,10	-9,29	-19,15	21,29	244,11	0,00	0,00	0,00	0,00	23,27	25,03	25,91	26,38	26,36	26,50	26,63	26,55	26,18	25,61	24,37	22,68	20,80	18,76	16,78	14,87	13,30	12,07	11,04	10,19	9,48	9,10	9,00	9,53	10,74	12,66	15,27	18,94	23,54	29,24	36,48	44,00	52,02	59,00	65,91
     1 	b.031_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:07:00	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	47,38	-9,26	-18,90	21,05	243,90	0,00	0,00	0,00	0,00	23,43	25,18	26,05	26,52	26,49	26,63	26,76	26,70	26,34	25,78	24,56	22,89	21,01	18,98	17,01	15,11	13,53	12,29	11,26	10,40	9,69	9,30	9,21	9,74	10,95	12,90	15,54	19,23	23,85	29,57	36,82	44,35	52,37	59,35	66,25
     2 	b.032_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:07:11	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	47,98	-9,30	-18,57	20,77	243,40	0,00	0,00	0,00	0,00	23,71	25,50	26,43	26,85	26,89	27,10	27,22	27,17	26,86	26,26	25,03	23,42	21,56	19,53	17,50	15,57	14,01	12,76	11,67	10,82	10,07	9,71	9,61	10,15	11,38	13,31	16,04	19,66	24,26	29,94	37,13	44,62	52,46	59,45	66,21
     2 	b.032_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:07:11	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	48,26	-9,27	-18,32	20,53	243,15	0,00	0,00	0,00	0,00	23,86	25,65	26,57	26,99	27,03	27,24	27,37	27,33	27,03	26,44	25,23	23,64	21,79	19,77	17,74	15,82	14,26	12,99	11,90	11,04	10,28	9,93	9,82	10,37	11,61	13,57	16,32	19,96	24,59	30,29	37,50	44,99	52,84	59,84	66,59
     3 	b.033_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:07:22	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	47,55	-9,20	-18,78	20,92	243,90	0,00	0,00	0,00	0,00	23,36	25,15	26,11	26,56	26,63	26,75	26,87	26,84	26,50	25,89	24,66	23,03	21,15	19,11	17,15	15,21	13,67	12,43	11,37	10,53	9,80	9,48	9,38	9,89	11,12	13,08	15,72	19,48	24,02	29,91	37,13	44,75	52,78	59,82	66,62
     3 	b.033_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:07:22	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	47,84	-9,18	-18,55	20,70	243,68	0,00	0,00	0,00	0,00	23,54	25,32	26,28	26,72	26,79	26,91	27,03	27,01	26,69	26,09	24,88	23,25	21,38	19,36	17,40	15,46	13,91	12,67	11,60	10,75	10,02	9,69	9,58	10,11	11,34	13,34	16,01	19,78	24,35	30,28	37,51	45,15	53,19	60,23	67,02
     4 	b.034_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:08:01	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	45,48	-9,27	-34,28	35,51	254,88	0,00	0,00	0,00	0,00	27,88	30,65	33,78	35,75	36,42	36,21	35,32	34,24	32,53	30,49	27,66	24,20	20,93	17,61	14,69	12,07	10,00	8,50	7,37	6,62	6,08	5,82	5,68	5,83	6,29	7,22	8,70	10,81	13,79	17,76	23,24	29,97	38,43	47,31	57,36
     4 	b.034_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:08:01	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	45,63	-9,29	-34,05	35,29	254,74	0,00	0,00	0,00	0,00	27,94	30,69	33,81	35,76	36,44	36,22	35,34	34,27	32,58	30,55	27,75	24,30	21,05	17,74	14,83	12,21	10,14	8,63	7,50	6,74	6,19	5,93	5,79	5,94	6,41	7,35	8,84	10,97	13,97	17,96	23,46	30,21	38,68	47,56	57,62
     5 	b.035_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:08:13	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	45,68	-9,37	-34,14	35,40	254,66	0,00	0,00	0,00	0,00	27,86	30,96	33,84	35,94	36,48	36,35	35,48	34,40	32,79	30,74	27,93	24,47	21,08	17,78	14,83	12,15	10,12	8,63	7,50	6,73	6,20	5,92	5,79	5,92	6,40	7,34	8,76	10,94	13,86	18,02	23,51	30,30	38,78	47,61	57,65
     5 	b.035_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:08:13	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	45,83	-9,41	-33,89	35,17	254,48	0,00	0,00	0,00	0,00	27,89	30,97	33,84	35,93	36,47	36,34	35,48	34,42	32,83	30,81	28,01	24,57	21,20	17,91	14,96	12,29	10,25	8,76	7,62	6,85	6,31	6,02	5,89	6,03	6,51	7,47	8,90	11,09	14,03	18,21	23,72	30,52	39,00	47,84	57,88
