	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.067_CAL01-C01_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 11:25:56 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	93,09	-0,96	-3,45	3,58	254,44	0,00	0,00	0,00	0,00	40,51	59,23	79,91	89,51	91,46	90,54	89,68	89,25	88,27	87,33	86,60	85,52	84,63	83,72	83,19	82,59	81,89	81,33	80,76	80,41	80,30	80,70	80,99	81,57	82,27	83,34	84,59	85,82	87,67	89,22	90,36	91,40	92,24	93,09	93,53
     1 	b.067_CAL01-C01_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 11:25:56 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	91,06	-0,98	-3,39	3,52	253,94	0,00	0,00	0,00	0,00	35,35	54,14	74,88	84,56	86,58	85,73	84,92	84,55	83,59	82,68	81,96	80,90	80,00	79,11	78,60	78,00	77,33	76,80	76,24	75,91	75,83	76,25	76,57	77,18	77,91	79,00	80,28	81,53	83,40	84,98	86,14	87,21	88,07	88,93	89,38
     2 	b.068_CAL01-C02_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 11:26:13 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	91,19	-4,91	-5,88	7,66	230,12	0,00	0,00	0,00	0,00	40,08	58,15	78,67	87,97	90,35	89,26	88,64	88,32	87,40	86,23	85,27	84,27	83,23	82,01	81,02	79,69	78,19	76,67	74,96	73,24	71,59	70,46	69,81	69,44	69,29	69,70	70,79	72,57	75,44	78,65	81,61	84,17	86,43	88,44	90,07
     2 	b.068_CAL01-C02_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 11:26:13 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	89,05	-5,13	-5,96	7,87	229,27	0,00	0,00	0,00	0,00	34,94	53,06	73,65	83,02	85,47	84,43	83,84	83,58	82,69	81,55	80,60	79,61	78,57	77,35	76,38	75,05	73,55	72,05	70,34	68,63	67,00	65,88	65,25	64,89	64,78	65,21	66,33	68,14	71,05	74,29	77,30	79,88	82,19	84,22	85,88
     3 	b.069_CAL01-C03_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 11:26:28 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	88,05	-10,94	-9,84	14,71	221,98	0,00	0,00	0,00	0,00	38,86	56,11	75,80	85,32	88,01	87,50	87,05	86,66	85,87	84,64	83,57	82,24	80,64	78,92	77,01	74,50	71,59	68,66	65,25	61,71	58,29	55,85	54,23	53,14	52,43	52,19	53,10	55,32	59,03	63,69	68,55	73,04	77,13	80,77	83,92
     3 	b.069_CAL01-C03_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 11:26:28 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	85,75	-11,52	-10,15	15,35	221,37	0,00	0,00	0,00	0,00	33,74	51,04	70,79	80,38	83,13	82,69	82,28	81,95	81,19	79,97	78,91	77,58	75,98	74,25	72,35	69,82	66,90	63,98	60,57	57,02	53,60	51,16	49,55	48,45	47,78	47,56	48,49	50,74	54,51	59,20	64,11	68,65	72,78	76,45	79,64
     4 	b.070_CAL01-C04_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 11:26:44 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	84,66	-16,21	-13,75	21,25	220,32	0,00	0,00	0,00	0,00	37,46	53,61	72,46	82,11	85,20	84,97	84,87	84,65	83,69	82,57	81,21	79,46	77,37	74,82	72,04	68,43	64,29	60,17	55,54	50,85	46,43	43,47	41,38	40,14	39,07	38,74	39,41	41,72	45,74	51,01	56,76	62,38	67,75	72,76	77,41
     4 	b.070_CAL01-C04_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 11:26:44 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	82,14	-17,22	-14,31	22,39	219,73	0,00	0,00	0,00	0,00	32,27	48,47	67,38	77,11	80,27	80,09	80,05	79,87	78,94	77,84	76,50	74,74	72,62	70,06	67,29	63,65	59,50	55,37	50,71	46,01	41,58	38,61	36,53	35,30	34,25	33,95	34,65	37,00	41,07	46,39	52,21	57,87	63,30	68,34	73,04
     5 	b.071_CAL01-C05_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 11:26:59 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	81,01	-21,08	-17,69	27,52	220,00	0,00	0,00	0,00	0,00	35,70	50,83	68,66	78,25	81,64	82,10	82,16	82,12	81,19	79,97	78,17	76,09	73,49	70,16	66,31	61,66	56,44	51,36	46,05	40,72	35,78	32,53	30,45	29,30	28,20	27,78	28,50	30,56	34,46	39,77	45,83	52,00	58,22	64,04	69,87
     5 	b.071_CAL01-C05_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 11:26:59 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	78,27	-22,59	-18,55	29,22	219,39	0,00	0,00	0,00	0,00	30,52	45,70	63,60	73,27	76,72	77,25	77,34	77,35	76,44	75,24	73,45	71,35	68,73	65,39	61,52	56,84	51,60	46,49	41,16	35,81	30,87	27,61	25,53	24,39	23,32	22,92	23,67	25,78	29,74	35,11	41,22	47,44	53,71	59,57	65,44
