	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.091_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:26:08 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	57,86	-9,07	-5,38	10,54	210,68	0,00	0,00	0,00	0,00	24,90	26,54	27,56	28,23	28,60	29,22	29,77	30,30	30,78	31,08	30,98	30,69	29,95	28,90	27,70	26,30	24,96	23,69	22,38	21,24	20,22	19,60	19,18	19,31	20,13	21,69	23,93	27,21	31,09	35,86	41,61	47,54	53,93	59,81	65,69
     1 	b.091_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:26:08 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	58,16	-9,02	-5,18	10,40	209,90	0,00	0,00	0,00	0,00	25,10	26,73	27,75	28,42	28,79	29,42	29,98	30,53	31,02	31,33	31,26	30,98	30,25	29,21	28,02	26,64	25,30	24,02	22,71	21,57	20,54	19,93	19,50	19,64	20,46	22,04	24,31	27,60	31,50	36,28	42,04	47,97	54,37	60,26	66,14
     2 	b.092_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:26:28 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	58,36	-9,10	-5,35	10,56	210,47	0,00	0,00	0,00	0,00	25,33	27,08	28,09	28,75	29,17	29,74	30,37	30,85	31,31	31,74	31,61	31,25	30,52	29,44	28,26	26,85	25,49	24,18	22,91	21,73	20,73	19,99	19,55	19,72	20,50	22,07	24,39	27,54	31,64	36,34	42,17	48,09	54,51	60,36	66,10
     2 	b.092_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:26:28 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	58,65	-9,04	-5,17	10,41	209,78	0,00	0,00	0,00	0,00	25,52	27,27	28,28	28,94	29,37	29,95	30,57	31,07	31,54	31,99	31,88	31,53	30,81	29,74	28,57	27,18	25,82	24,51	23,24	22,06	21,05	20,31	19,87	20,05	20,83	22,41	24,76	27,92	32,03	36,75	42,59	48,52	54,94	60,80	66,53
     3 	b.093_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:26:43 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	57,26	-9,27	-5,56	10,80	210,95	0,00	0,00	0,00	0,00	24,42	26,07	27,02	27,69	28,07	28,64	29,18	29,70	30,16	30,52	30,41	30,06	29,34	28,27	27,07	25,67	24,35	23,05	21,77	20,59	19,59	18,91	18,47	18,60	19,40	20,96	23,16	26,44	30,36	35,11	40,90	46,87	53,33	59,27	65,18
     3 	b.093_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:26:43 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	57,55	-9,23	-5,36	10,67	210,14	0,00	0,00	0,00	0,00	24,60	26,24	27,20	27,87	28,26	28,83	29,38	29,93	30,38	30,77	30,68	30,34	29,64	28,58	27,40	26,01	24,68	23,37	22,09	20,91	19,90	19,22	18,78	18,92	19,72	21,30	23,53	26,82	30,75	35,53	41,33	47,31	53,78	59,73	65,63
     4 	b.094_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:27:32 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	50,68	-11,50	-20,77	23,74	241,03	0,00	0,00	0,00	0,00	27,65	29,99	31,62	32,36	32,06	31,80	31,32	30,86	30,36	29,72	28,55	27,02	25,07	22,76	20,38	18,04	16,02	14,35	12,94	11,87	11,03	10,46	10,09	10,05	10,34	11,03	12,24	13,83	16,25	19,40	23,80	28,96	35,70	42,82	51,43
     4 	b.094_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:27:32 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	50,87	-11,51	-20,59	23,59	240,79	0,00	0,00	0,00	0,00	27,73	30,07	31,70	32,45	32,16	31,91	31,44	30,99	30,49	29,87	28,71	27,20	25,25	22,94	20,57	18,24	16,20	14,53	13,11	12,04	11,18	10,61	10,23	10,19	10,47	11,18	12,40	14,00	16,44	19,61	24,02	29,20	35,94	43,08	51,69
     5 	b.095_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:27:47 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	50,47	-11,44	-20,70	23,65	241,08	0,00	0,00	0,00	0,00	27,27	29,60	31,33	32,09	31,77	31,48	31,10	30,56	30,08	29,47	28,34	26,80	24,82	22,53	20,21	17,86	15,86	14,21	12,80	11,75	10,93	10,42	10,04	10,00	10,28	10,98	12,03	13,82	16,16	19,33	23,56	28,81	35,53	42,71	51,28
     5 	b.095_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:27:47 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	50,69	-11,44	-20,51	23,49	240,86	0,00	0,00	0,00	0,00	27,41	29,73	31,46	32,20	31,89	31,60	31,21	30,69	30,22	29,63	28,51	26,98	25,01	22,73	20,41	18,07	16,07	14,41	12,99	11,93	11,10	10,58	10,19	10,15	10,43	11,14	12,21	14,01	16,36	19,55	23,80	29,07	35,80	42,99	51,56
     6 	b.096_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:28:01 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	50,76	-11,54	-20,37	23,41	240,45	0,00	0,00	0,00	0,00	27,35	29,74	31,37	32,09	31,91	31,56	31,19	30,71	30,25	29,66	28,53	27,08	25,10	22,85	20,49	18,15	16,14	14,46	13,06	11,97	11,15	10,59	10,24	10,17	10,46	11,20	12,23	14,11	16,28	19,53	23,83	29,05	35,69	42,89	51,42
     6 	b.096_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:28:01 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	50,97	-11,55	-20,18	23,25	240,23	0,00	0,00	0,00	0,00	27,47	29,85	31,49	32,21	32,03	31,68	31,31	30,85	30,39	29,82	28,71	27,26	25,30	23,05	20,70	18,36	16,34	14,64	13,25	12,15	11,32	10,76	10,40	10,33	10,61	11,36	12,41	14,30	16,49	19,75	24,07	29,30	35,95	43,18	51,72
     7 	b.097_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:28:55 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	33,47	6,75	-42,21	42,74	279,09	0,00	0,00	0,00	0,00	18,20	20,65	23,52	26,57	28,40	28,79	27,87	25,71	22,80	19,54	16,00	12,34	9,42	7,04	5,36	4,23	3,60	3,28	3,11	3,07	3,12	3,39	3,94	4,80	6,03	7,68	9,71	12,27	15,53	19,24	24,05	29,41	35,93	42,78	50,82
     7 	b.097_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:28:55 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	33,64	6,71	-42,17	42,70	279,05	0,00	0,00	0,00	0,00	18,34	20,79	23,67	26,72	28,56	28,95	28,03	25,87	22,95	19,69	16,13	12,46	9,52	7,12	5,43	4,29	3,64	3,32	3,15	3,12	3,17	3,45	4,01	4,87	6,12	7,79	9,85	12,43	15,72	19,47	24,29	29,69	36,24	43,11	51,16
     8 	b.098_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:29:13 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	34,58	5,93	-42,04	42,45	278,03	0,00	0,00	0,00	0,00	18,86	21,45	24,52	27,58	29,44	29,88	28,96	26,93	24,01	20,71	17,07	13,32	10,20	7,64	5,82	4,60	3,90	3,53	3,35	3,30	3,36	3,65	4,22	5,18	6,50	8,22	10,40	13,05	16,37	20,12	24,91	30,29	36,73	43,44	51,38
     8 	b.098_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:29:13 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	34,77	5,87	-41,97	42,37	277,96	0,00	0,00	0,00	0,00	19,00	21,59	24,66	27,72	29,60	30,05	29,12	27,10	24,17	20,86	17,22	13,45	10,32	7,74	5,91	4,68	3,96	3,58	3,40	3,35	3,42	3,72	4,30	5,27	6,60	8,35	10,56	13,24	16,58	20,36	25,18	30,57	37,03	43,76	51,70
     9 	b.099_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:29:33 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	34,41	5,87	-41,74	42,16	278,01	0,00	0,00	0,00	0,00	18,57	21,08	24,12	27,18	28,99	29,51	28,60	26,57	23,73	20,43	16,86	13,14	10,09	7,58	5,78	4,55	3,88	3,52	3,33	3,28	3,33	3,64	4,22	5,17	6,43	8,17	10,24	12,92	16,14	20,00	24,82	30,13	36,56	43,31	51,26
     9 	b.099_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:29:33 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	34,61	5,83	-41,72	42,13	277,96	0,00	0,00	0,00	0,00	18,76	21,28	24,32	27,39	29,19	29,72	28,81	26,77	23,92	20,61	17,02	13,29	10,21	7,69	5,87	4,63	3,94	3,57	3,38	3,34	3,39	3,71	4,30	5,25	6,53	8,31	10,43	13,13	16,37	20,26	25,11	30,45	36,91	43,68	51,63
    10 	b.100_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:30:38 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,34	-5,99	-29,26	29,86	258,43	0,00	0,00	0,00	0,00	17,56	18,71	19,63	20,55	21,62	22,66	22,92	22,12	20,81	19,33	17,36	15,03	12,68	10,46	8,61	7,04	5,79	4,81	4,11	3,79	3,76	4,01	4,41	5,13	6,16	7,59	9,28	11,37	13,64	16,27	19,22	22,34	26,05	30,00	35,02
    10 	b.100_BW4-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:30:38 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,50	-6,02	-29,23	29,84	258,37	0,00	0,00	0,00	0,00	17,68	18,84	19,76	20,68	21,76	22,80	23,05	22,27	20,94	19,47	17,49	15,14	12,79	10,56	8,70	7,13	5,86	4,86	4,17	3,83	3,81	4,06	4,46	5,19	6,23	7,69	9,40	11,50	13,79	16,45	19,42	22,55	26,28	30,25	35,27
    11 	b.101_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:30:53 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,40	-6,19	-29,22	29,87	258,05	0,00	0,00	0,00	0,00	17,25	18,56	19,57	20,54	21,61	22,72	22,98	22,20	20,90	19,47	17,46	15,09	12,74	10,50	8,64	7,07	5,80	4,82	4,10	3,79	3,76	3,99	4,41	5,11	6,15	7,55	9,25	11,27	13,62	16,19	19,22	22,34	26,07	30,04	35,02
    11 	b.101_BW4-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:30:53 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,53	-6,20	-29,17	29,82	258,01	0,00	0,00	0,00	0,00	17,35	18,66	19,66	20,64	21,71	22,82	23,07	22,30	21,00	19,56	17,56	15,18	12,82	10,58	8,72	7,15	5,87	4,87	4,15	3,84	3,81	4,04	4,46	5,17	6,21	7,63	9,36	11,39	13,75	16,35	19,39	22,52	26,27	30,25	35,24
    12 	b.102_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:31:11 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,33	-6,13	-29,35	29,98	258,19	0,00	0,00	0,00	0,00	17,22	18,51	19,53	20,53	21,63	22,73	23,00	22,23	20,91	19,47	17,44	15,05	12,68	10,43	8,59	7,01	5,76	4,78	4,09	3,77	3,75	3,97	4,37	5,06	6,08	7,49	9,15	11,21	13,50	16,07	19,12	22,31	26,13	30,02	35,12
    12 	b.102_BW4-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:31:11 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,44	-6,12	-29,35	29,98	258,22	0,00	0,00	0,00	0,00	17,30	18,60	19,63	20,63	21,73	22,83	23,10	22,34	21,01	19,57	17,53	15,12	12,75	10,50	8,65	7,06	5,80	4,81	4,12	3,80	3,79	4,01	4,42	5,12	6,14	7,57	9,25	11,32	13,63	16,23	19,28	22,49	26,32	30,22	35,33
    13 	b.103_BW5-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:32:38 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	35,45	3,93	-35,89	36,11	276,24	0,00	0,00	0,00	0,00	11,94	13,64	16,55	21,78	27,17	29,22	27,69	24,71	21,12	17,92	15,09	12,51	10,34	8,49	7,33	6,37	5,46	4,67	4,31	4,37	4,46	4,34	4,17	4,48	5,70	8,36	13,04	20,05	28,76	38,32	47,43	55,06	61,98	67,71	73,32
    13 	b.103_BW5-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:32:38 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	35,60	3,93	-35,86	36,07	276,26	0,00	0,00	0,00	0,00	12,05	13,75	16,67	21,91	27,30	29,36	27,83	24,85	21,26	18,04	15,20	12,61	10,43	8,57	7,40	6,44	5,51	4,72	4,36	4,42	4,51	4,40	4,24	4,57	5,82	8,52	13,25	20,29	29,05	38,66	47,81	55,46	62,41	68,16	73,76
    14 	b.104_BW5-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:32:54 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	35,33	4,11	-36,04	36,28	276,51	0,00	0,00	0,00	0,00	12,03	13,67	16,53	21,75	27,16	29,18	27,68	24,67	21,09	17,80	14,98	12,41	10,24	8,44	7,25	6,31	5,40	4,62	4,27	4,33	4,42	4,31	4,16	4,46	5,71	8,32	13,00	19,82	28,69	38,10	47,38	54,99	61,86	67,71	73,36
    14 	b.104_BW5-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:32:54 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	35,50	4,10	-35,97	36,20	276,50	0,00	0,00	0,00	0,00	12,14	13,78	16,65	21,87	27,29	29,31	27,81	24,81	21,22	17,92	15,10	12,52	10,34	8,53	7,34	6,39	5,47	4,68	4,33	4,38	4,48	4,37	4,24	4,56	5,83	8,50	13,24	20,09	29,01	38,47	47,78	55,42	62,31	68,18	73,81
    15 	b.105_BW5-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/2/2022 11:33:09 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	35,23	4,27	-36,12	36,37	276,74	0,00	0,00	0,00	0,00	11,89	13,60	16,55	21,73	27,11	29,12	27,62	24,55	21,02	17,70	14,88	12,35	10,19	8,35	7,18	6,26	5,36	4,59	4,22	4,30	4,39	4,29	4,16	4,46	5,67	8,34	13,02	19,98	28,68	38,02	47,34	54,92	61,78	67,71	73,32
    15 	b.105_BW5-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/2/2022 11:33:09 AM	2/2/2022 11:24:46 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	35,44	4,22	-36,05	36,29	276,67	0,00	0,00	0,00	0,00	12,02	13,74	16,70	21,89	27,28	29,30	27,79	24,73	21,19	17,87	15,04	12,48	10,32	8,47	7,28	6,36	5,44	4,66	4,29	4,36	4,46	4,36	4,24	4,56	5,80	8,52	13,26	20,25	29,01	38,40	47,76	55,37	62,25	68,19	73,79
