	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.181_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:29:07 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	72,36	-5,12	4,25	6,66	140,27	0,00	0,00	0,00	0,00	30,09	33,03	35,81	37,71	39,43	40,86	41,89	43,03	43,93	44,87	45,34	45,97	46,31	46,30	46,12	45,47	44,75	44,01	43,10	42,13	41,32	40,80	40,54	41,04	42,12	43,99	46,57	50,10	54,08	58,59	63,16	67,10	70,64	73,63	76,22
     1 	b.181_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:29:07 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	72,35	-5,12	4,18	6,61	140,78	0,00	0,00	0,00	0,00	30,25	33,14	35,88	37,77	39,49	40,91	41,93	43,06	43,94	44,88	45,39	46,03	46,35	46,32	46,11	45,44	44,70	43,94	43,01	42,04	41,23	40,75	40,53	41,07	42,21	44,16	46,82	50,40	54,42	58,98	63,56	67,53	71,07	74,07	76,64
     2 	b.182_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:29:18 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	73,17	-5,25	4,79	7,11	137,62	0,00	0,00	0,00	0,00	30,01	33,12	36,10	38,29	39,96	41,65	42,75	43,80	44,95	46,00	46,49	47,06	47,47	47,54	47,50	46,90	46,11	45,37	44,40	43,36	42,41	41,91	41,71	42,18	43,46	45,38	48,42	52,05	56,36	60,83	65,41	69,20	72,43	75,22	77,61
     2 	b.182_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:29:18 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	73,18	-5,26	4,74	7,07	137,98	0,00	0,00	0,00	0,00	30,15	33,21	36,16	38,34	40,01	41,72	42,80	43,84	44,97	46,02	46,56	47,14	47,53	47,58	47,51	46,89	46,07	45,33	44,33	43,29	42,35	41,88	41,72	42,24	43,58	45,58	48,69	52,37	56,74	61,24	65,86	69,65	72,88	75,68	78,04
     3 	b.183_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:29:28 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	72,52	-5,15	4,25	6,68	140,43	0,00	0,00	0,00	0,00	29,89	33,27	35,80	38,03	39,64	41,06	42,17	43,29	44,17	45,19	45,66	46,20	46,49	46,56	46,40	45,74	45,01	44,24	43,27	42,38	41,54	41,00	40,83	41,24	42,25	44,12	46,87	50,30	54,43	58,86	63,50	67,38	70,96	73,88	76,55
     3 	b.183_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:29:28 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	72,52	-5,15	4,20	6,64	140,84	0,00	0,00	0,00	0,00	30,02	33,35	35,86	38,08	39,69	41,11	42,20	43,33	44,19	45,21	45,72	46,27	46,54	46,59	46,40	45,72	44,97	44,18	43,20	42,30	41,47	40,95	40,82	41,30	42,36	44,32	47,15	50,62	54,81	59,28	63,95	67,84	71,42	74,34	77,00
     4 	b.184_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:30:44 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	65,53	-11,97	-4,64	12,84	201,19	0,00	0,00	0,00	0,00	31,29	34,22	36,40	37,70	38,09	38,40	38,56	38,89	39,49	40,15	40,60	40,95	40,84	40,01	38,52	36,56	34,41	32,34	30,35	28,55	26,97	25,84	24,79	24,27	24,04	24,61	25,47	27,16	29,53	32,75	37,14	42,02	48,01	54,16	60,93
     4 	b.184_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:30:44 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	65,39	-12,16	-4,86	13,09	201,79	0,00	0,00	0,00	0,00	31,45	34,30	36,45	37,73	38,10	38,40	38,53	38,85	39,44	40,09	40,58	40,94	40,80	39,94	38,40	36,41	34,20	32,08	30,05	28,23	26,63	25,50	24,47	24,00	23,82	24,47	25,41	27,16	29,61	32,90	37,35	42,27	48,30	54,48	61,26
     5 	b.185_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:30:55 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	66,61	-12,20	-4,25	12,92	199,18	0,00	0,00	0,00	0,00	31,88	35,08	37,50	38,67	39,23	39,55	39,72	40,28	40,82	41,59	42,04	42,46	42,42	41,51	40,19	38,18	35,94	33,75	31,67	29,82	28,17	26,96	25,77	25,23	25,09	25,55	26,54	28,20	30,57	33,95	38,48	43,51	49,52	55,69	62,39
     5 	b.185_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:30:55 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	66,51	-12,38	-4,45	13,15	199,76	0,00	0,00	0,00	0,00	32,02	35,16	37,55	38,71	39,27	39,59	39,74	40,28	40,80	41,57	42,06	42,50	42,42	41,48	40,11	38,06	35,76	33,54	31,41	29,53	27,86	26,66	25,50	25,01	24,91	25,45	26,53	28,25	30,70	34,15	38,72	43,80	49,83	56,03	62,73
     6 	b.186_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:31:09 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	65,28	-11,61	-4,57	12,48	201,48	0,00	0,00	0,00	0,00	30,76	33,70	36,21	37,24	37,79	37,99	38,08	38,55	39,05	39,81	40,22	40,46	40,20	39,37	38,12	36,20	34,08	32,14	30,15	28,45	27,03	25,80	24,74	24,25	24,10	24,57	25,56	27,14	29,47	32,76	36,95	41,88	47,70	53,79	60,60
     6 	b.186_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:31:09 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	65,15	-11,78	-4,79	12,72	202,12	0,00	0,00	0,00	0,00	30,88	33,76	36,24	37,25	37,80	38,00	38,07	38,52	39,01	39,76	40,20	40,45	40,16	39,30	38,00	36,03	33,86	31,89	29,86	28,13	26,69	25,47	24,45	24,00	23,91	24,46	25,53	27,18	29,58	32,95	37,19	42,15	48,01	54,12	60,94
     7 	b.187_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:31:39 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	39,46	1,46	-32,63	32,66	272,56	0,00	0,00	0,00	0,00	21,41	23,75	25,89	27,66	28,32	28,10	27,19	25,71	23,90	21,86	19,33	16,47	13,75	11,25	9,31	7,77	6,80	6,26	5,93	5,84	5,91	6,32	7,03	8,12	9,52	11,34	13,37	16,07	18,95	22,65	26,80	31,50	37,08	42,90	49,81
     7 	b.187_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:31:39 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	38,72	1,33	-33,88	33,91	272,24	0,00	0,00	0,00	0,00	21,58	23,85	25,94	27,69	28,35	28,11	27,18	25,65	23,80	21,72	19,19	16,29	13,50	10,92	8,88	7,27	6,23	5,63	5,27	5,17	5,24	5,68	6,45	7,62	9,10	11,05	13,18	15,98	18,96	22,75	26,98	31,73	37,35	43,21	50,12
     8 	b.188_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:31:50 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	39,65	1,23	-33,15	33,18	272,13	0,00	0,00	0,00	0,00	21,40	23,95	26,27	28,17	28,87	28,69	27,81	26,31	24,43	22,37	19,81	16,80	13,99	11,40	9,37	7,80	6,78	6,21	5,88	5,77	5,84	6,26	6,99	8,08	9,54	11,38	13,52	16,23	19,20	22,89	27,24	31,98	37,63	43,52	50,46
     8 	b.188_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:31:50 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	38,87	1,14	-34,43	34,45	271,89	0,00	0,00	0,00	0,00	21,54	24,02	26,31	28,18	28,88	28,68	27,75	26,22	24,29	22,19	19,63	16,59	13,71	11,04	8,92	7,27	6,18	5,56	5,19	5,07	5,15	5,61	6,39	7,57	9,12	11,08	13,33	16,14	19,21	22,99	27,40	32,19	37,87	43,80	50,75
     9 	b.189_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:32:01 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	39,30	1,53	-32,74	32,77	272,67	0,00	0,00	0,00	0,00	21,09	23,64	25,77	27,58	28,22	28,02	27,09	25,62	23,77	21,71	19,18	16,34	13,62	11,16	9,22	7,69	6,74	6,19	5,85	5,75	5,81	6,25	6,96	8,03	9,45	11,24	13,27	15,82	18,85	22,45	26,62	31,29	36,76	42,63	49,64
     9 	b.189_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:32:01 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	38,51	1,44	-34,03	34,06	272,43	0,00	0,00	0,00	0,00	21,25	23,73	25,82	27,60	28,23	28,00	27,03	25,52	23,64	21,53	19,00	16,12	13,34	10,80	8,77	7,17	6,15	5,54	5,18	5,06	5,13	5,60	6,38	7,52	9,03	10,93	13,07	15,72	18,84	22,53	26,76	31,48	37,00	42,90	49,92
    10 	b.190_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:32:42 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	38,58	-5,97	-27,43	28,08	257,71	0,00	0,00	0,00	0,00	18,19	19,63	20,77	21,76	22,81	23,71	23,87	23,15	22,01	20,64	18,74	16,45	14,08	11,86	9,98	8,29	6,94	5,88	5,12	4,79	4,75	5,07	5,57	6,44	7,69	9,43	11,26	13,68	16,27	19,07	22,21	25,46	29,28	33,24	38,19
    10 	b.190_BW4-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/11/2022 11:32:42 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,72	-6,40	-28,76	29,46	257,45	0,00	0,00	0,00	0,00	18,30	19,66	20,75	21,73	22,77	23,65	23,77	23,02	21,84	20,44	18,55	16,22	13,79	11,48	9,51	7,75	6,33	5,21	4,41	4,07	4,03	4,39	4,92	5,88	7,22	9,06	11,00	13,50	16,18	19,08	22,27	25,58	29,43	33,42	38,39
    11 	b.191_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/11/2022 11:32:54 AM	2/11/2022 11:27:26 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,93	-5,68	-27,51	28,09	258,34	0,00	0,00	0,00	0,00	17,90	19,26	20,23	21,27	22,24	23,13	23,26	22,56	21,39	20,01	18,14	15,86	13,58	11,41	9,58	7,97	6,67	5,65	4,93	4,60	4,59	4,86	5,35	6,18	7,42	9,07	10,98	13,27	15,78	18,49	21,69	25,02	28,86	32,84	37,99
