	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.151_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:04:23 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	70,83	-6,06	2,98	6,75	153,83	0,00	0,00	0,00	0,00	29,59	32,50	35,04	36,84	38,36	39,77	40,71	41,70	42,62	43,57	43,96	44,42	44,62	44,55	44,12	43,23	42,30	41,38	40,24	39,24	38,23	37,68	37,35	37,73	38,75	40,50	43,22	46,72	50,89	55,47	60,49	64,95	69,02	72,46	75,55
     1 	b.151_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:04:23 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	71,14	-5,99	3,16	6,78	152,18	0,00	0,00	0,00	0,00	29,77	32,69	35,25	37,06	38,62	40,04	40,98	41,99	42,94	43,91	44,32	44,80	45,02	44,96	44,56	43,68	42,77	41,86	40,72	39,73	38,72	38,18	37,87	38,25	39,27	41,05	43,79	47,29	51,47	56,06	61,06	65,51	69,57	73,00	76,06
     2 	b.152_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:04:35 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	70,23	-6,08	2,78	6,69	155,42	0,00	0,00	0,00	0,00	29,10	32,19	34,33	36,34	37,71	39,01	39,95	41,07	41,89	42,74	43,10	43,59	43,87	43,59	43,18	42,31	41,48	40,48	39,31	38,27	37,35	36,77	36,47	36,92	37,88	39,60	42,40	45,88	49,99	54,64	59,73	64,26	68,47	71,98	75,13
     2 	b.152_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:04:35 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	70,51	-6,01	2,96	6,70	153,80	0,00	0,00	0,00	0,00	29,30	32,40	34,54	36,56	37,94	39,25	40,19	41,34	42,17	43,03	43,42	43,93	44,23	43,97	43,58	42,73	41,91	40,92	39,75	38,72	37,81	37,23	36,95	37,41	38,37	40,12	42,94	46,42	50,54	55,20	60,29	64,81	69,00	72,51	75,63
     3 	b.153_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:04:49 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	69,80	-5,86	2,77	6,49	154,67	0,00	0,00	0,00	0,00	28,95	31,73	34,02	35,77	37,23	38,41	39,34	40,30	41,20	42,00	42,43	42,95	43,00	42,93	42,47	41,65	40,82	39,86	38,78	37,80	36,81	36,44	36,15	36,48	37,51	39,23	41,85	45,26	49,28	53,82	58,86	63,33	67,57	71,13	74,34
     3 	b.153_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:04:49 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	70,09	-5,78	2,95	6,48	152,98	0,00	0,00	0,00	0,00	29,16	31,94	34,25	36,01	37,49	38,68	39,60	40,58	41,49	42,32	42,76	43,30	43,38	43,32	42,87	42,08	41,27	40,32	39,24	38,28	37,30	36,93	36,65	36,99	38,02	39,77	42,40	45,81	49,83	54,38	59,41	63,88	68,10	71,66	74,84
     4 	b.154_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:05:22 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	62,41	-11,51	-7,04	13,49	211,47	0,00	0,00	0,00	0,00	30,50	33,10	35,00	35,78	36,04	36,12	36,03	36,27	36,67	37,08	37,12	37,27	36,79	35,66	34,09	32,08	30,15	28,23	26,32	24,84	23,49	22,49	21,50	21,02	21,02	21,39	22,38	23,83	26,04	29,04	33,06	37,72	43,48	49,62	56,56
     4 	b.154_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:05:22 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	62,65	-11,49	-6,88	13,39	210,90	0,00	0,00	0,00	0,00	30,61	33,22	35,13	35,94	36,22	36,32	36,23	36,48	36,90	37,33	37,38	37,55	37,08	35,95	34,40	32,40	30,46	28,54	26,61	25,13	23,78	22,77	21,77	21,29	21,29	21,66	22,67	24,13	26,35	29,37	33,40	38,07	43,83	49,98	56,92
     5 	b.155_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:05:33 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	63,15	-11,82	-6,92	13,70	210,35	0,00	0,00	0,00	0,00	31,06	33,87	35,70	36,68	36,85	36,96	36,93	37,24	37,67	37,97	38,32	38,45	37,86	36,82	35,10	32,96	31,03	29,05	27,08	25,42	24,05	23,07	22,10	21,67	21,57	21,95	22,90	24,44	26,73	29,75	33,98	38,73	44,59	50,74	57,66
     5 	b.155_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:05:33 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	63,39	-11,80	-6,77	13,60	209,82	0,00	0,00	0,00	0,00	31,21	34,03	35,87	36,85	37,05	37,17	37,14	37,47	37,91	38,23	38,60	38,74	38,16	37,13	35,42	33,29	31,35	29,37	27,38	25,72	24,34	23,35	22,39	21,95	21,85	22,24	23,21	24,75	27,05	30,09	34,33	39,08	44,95	51,11	58,03
     6 	b.156_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:05:44 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	61,96	-11,34	-7,03	13,35	211,81	0,00	0,00	0,00	0,00	30,30	32,81	34,41	35,20	35,54	35,55	35,40	35,60	36,00	36,38	36,50	36,63	36,19	35,07	33,51	31,51	29,58	27,73	25,91	24,37	22,99	22,15	21,29	20,86	20,77	21,22	22,01	23,65	25,82	28,85	32,89	37,60	43,50	49,65	56,65
     6 	b.156_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:05:44 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	62,23	-11,28	-6,86	13,21	211,32	0,00	0,00	0,00	0,00	30,50	33,01	34,61	35,41	35,75	35,77	35,62	35,83	36,24	36,64	36,77	36,92	36,49	35,39	33,84	31,85	29,92	28,08	26,25	24,70	23,33	22,48	21,62	21,18	21,08	21,54	22,34	23,98	26,16	29,21	33,26	37,99	43,90	50,06	57,05
     7 	b.157_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:06:15 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,27	2,58	-34,97	35,06	274,22	0,00	0,00	0,00	0,00	20,35	22,74	24,97	26,80	27,62	27,35	26,39	24,83	22,78	20,58	17,88	14,93	12,23	9,81	7,92	6,51	5,64	5,14	4,85	4,77	4,86	5,21	5,85	6,85	8,20	9,89	11,95	14,54	17,42	21,09	25,39	30,15	35,88	41,87	49,04
     7 	b.157_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:06:15 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,44	2,57	-34,90	35,00	274,21	0,00	0,00	0,00	0,00	20,47	22,86	25,10	26,94	27,77	27,50	26,54	24,98	22,92	20,72	18,02	15,05	12,35	9,91	8,01	6,59	5,71	5,21	4,92	4,84	4,93	5,29	5,94	6,95	8,32	10,04	12,12	14,74	17,64	21,34	25,66	30,44	36,19	42,21	49,38
     8 	b.158_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:06:28 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,10	2,76	-34,97	35,08	274,52	0,00	0,00	0,00	0,00	20,11	22,50	24,70	26,63	27,45	27,21	26,24	24,68	22,63	20,40	17,71	14,77	12,06	9,65	7,81	6,43	5,59	5,11	4,84	4,76	4,84	5,21	5,84	6,80	8,10	9,77	11,82	14,35	17,34	20,84	25,17	30,00	35,58	41,64	48,72
     8 	b.158_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:06:28 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,25	2,76	-34,92	35,03	274,51	0,00	0,00	0,00	0,00	20,20	22,58	24,81	26,74	27,58	27,35	26,36	24,81	22,75	20,52	17,83	14,87	12,16	9,74	7,88	6,50	5,65	5,17	4,90	4,82	4,90	5,28	5,92	6,89	8,21	9,90	11,98	14,52	17,54	21,07	25,42	30,27	35,86	41,93	49,02
     9 	b.159_BW3-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:06:43 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,05	3,05	-35,13	35,26	274,96	0,00	0,00	0,00	0,00	20,47	22,72	24,90	26,74	27,50	27,24	26,23	24,67	22,59	20,25	17,59	14,68	12,00	9,60	7,76	6,40	5,58	5,11	4,84	4,77	4,83	5,20	5,85	6,83	8,13	9,79	11,84	14,29	17,24	20,74	24,94	29,63	35,25	41,21	48,28
     9 	b.159_BW3-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:06:43 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,20	3,03	-35,07	35,20	274,93	0,00	0,00	0,00	0,00	20,55	22,81	25,00	26,86	27,63	27,38	26,37	24,80	22,72	20,38	17,72	14,79	12,10	9,68	7,85	6,47	5,65	5,16	4,90	4,83	4,89	5,26	5,93	6,93	8,23	9,92	12,00	14,46	17,44	20,97	25,19	29,89	35,53	41,51	48,58
    10 	b.160_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:07:24 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,66	-6,00	-27,69	28,33	257,78	0,00	0,00	0,00	0,00	17,72	19,04	20,07	21,04	22,05	22,94	23,15	22,46	21,27	19,86	17,99	15,74	13,47	11,29	9,41	7,84	6,56	5,51	4,78	4,43	4,40	4,67	5,12	5,93	7,12	8,70	10,56	12,75	15,14	17,85	20,96	24,10	27,84	31,77	36,66
    10 	b.160_BW4-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:07:24 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,76	-6,00	-27,66	28,30	257,77	0,00	0,00	0,00	0,00	17,81	19,11	20,15	21,13	22,13	23,02	23,23	22,55	21,36	19,96	18,08	15,82	13,54	11,36	9,47	7,89	6,60	5,55	4,81	4,47	4,44	4,72	5,17	6,00	7,18	8,78	10,66	12,86	15,27	18,01	21,13	24,28	28,02	31,98	36,87
    11 	b.161_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:07:45 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,77	-6,01	-27,67	28,31	257,75	0,00	0,00	0,00	0,00	17,65	18,99	20,17	21,12	22,13	23,03	23,28	22,59	21,39	19,99	18,08	15,83	13,53	11,35	9,51	7,89	6,59	5,55	4,81	4,48	4,44	4,72	5,20	5,99	7,18	8,76	10,59	12,86	15,25	18,01	21,04	24,30	28,00	31,92	36,88
    11 	b.161_BW4-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:07:45 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,89	-6,02	-27,64	28,29	257,71	0,00	0,00	0,00	0,00	17,72	19,06	20,25	21,21	22,23	23,13	23,38	22,69	21,49	20,09	18,18	15,92	13,62	11,43	9,57	7,94	6,64	5,59	4,85	4,52	4,48	4,76	5,24	6,05	7,25	8,85	10,71	12,99	15,40	18,18	21,22	24,50	28,22	32,15	37,11
    12 	b.162_BW4-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:08:00 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,58	-5,91	-27,72	28,35	257,96	0,00	0,00	0,00	0,00	17,62	19,02	19,99	20,96	22,00	22,89	23,11	22,42	21,21	19,84	17,90	15,65	13,38	11,20	9,38	7,79	6,52	5,50	4,76	4,43	4,40	4,66	5,11	5,88	7,08	8,61	10,46	12,73	15,01	17,72	20,83	24,05	27,85	31,79	36,78
    12 	b.162_BW4-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:08:00 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	37,70	-5,90	-27,67	28,30	257,96	0,00	0,00	0,00	0,00	17,68	19,08	20,06	21,03	22,08	22,98	23,20	22,51	21,30	19,93	17,99	15,74	13,46	11,27	9,44	7,85	6,56	5,55	4,81	4,48	4,45	4,71	5,17	5,96	7,15	8,71	10,57	12,85	15,14	17,87	20,99	24,23	28,04	32,00	36,98
    13 	b.163_BW5-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:08:40 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,30	3,92	-34,12	34,35	276,56	0,00	0,00	0,00	0,00	12,42	14,20	17,13	22,03	26,89	28,58	27,22	24,40	21,10	18,00	15,33	12,86	10,75	9,00	7,82	6,85	5,96	5,18	4,81	4,90	4,99	4,91	4,80	5,25	6,74	9,80	14,75	21,61	29,75	37,93	46,22	53,16	59,79	65,69	71,46
    13 	b.163_BW5-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/9/2022 12:08:40 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,50	3,93	-34,05	34,28	276,59	0,00	0,00	0,00	0,00	12,51	14,31	17,25	22,17	27,05	28,75	27,39	24,57	21,26	18,15	15,47	12,99	10,86	9,10	7,91	6,94	6,04	5,26	4,88	4,97	5,07	5,00	4,90	5,38	6,90	10,00	15,00	21,90	30,09	38,32	46,64	53,60	60,24	66,15	71,91
    14 	b.164_BW5-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/9/2022 12:08:53 PM	2/9/2022 12:02:10 PM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	36,65	3,83	-34,18	34,39	276,39	0,00	0,00	0,00	0,00	12,68	14,53	17,48	22,34	27,30	28,96	27,64	24,84	21,52	18,36	15,64	13,14	11,00	9,20	7,96	7,01	6,08	5,27	4,89	4,99	5,10	5,03	4,91	5,38	6,94	10,04	15,16	22,06	30,24	38,49	46,80	53,79	60,38	66,38	72,12
