	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.045_CAL01-C01_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:23:04	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	93,62	-0,89	-2,99	3,12	253,36	0,00	0,00	0,00	0,00	37,45	56,65	79,29	90,28	92,53	91,28	90,50	90,05	89,09	88,23	87,33	86,52	85,65	84,94	84,44	83,79	83,09	82,58	82,22	81,99	81,85	82,08	82,49	83,17	83,85	84,80	85,90	87,17	88,45	90,02	91,09	92,08	92,86	93,59	94,20
     1 	b.045_CAL01-C01_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:23:04	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	91,62	-0,91	-2,94	3,07	252,86	0,00	0,00	0,00	0,00	32,43	51,68	74,38	85,43	87,73	86,54	85,79	85,40	84,46	83,62	82,75	81,94	81,07	80,37	79,89	79,25	78,56	78,07	77,73	77,51	77,40	77,66	78,09	78,80	79,51	80,49	81,62	82,93	84,24	85,83	86,92	87,94	88,74	89,48	90,09
     2 	b.046_CAL01-C02_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:23:24	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	91,63	-4,90	-5,53	7,39	228,46	0,00	0,00	0,00	0,00	36,99	55,94	78,22	88,81	91,16	90,11	89,27	88,98	87,95	87,07	86,10	85,02	84,02	83,08	82,12	80,78	79,19	77,61	76,05	74,33	72,74	71,58	70,89	70,64	70,31	70,83	71,72	73,46	76,09	79,23	81,97	84,59	86,87	88,79	90,47
     2 	b.046_CAL01-C02_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:23:24	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	89,55	-5,13	-5,61	7,60	227,59	0,00	0,00	0,00	0,00	31,96	50,96	73,30	83,97	86,38	85,40	84,61	84,36	83,34	82,49	81,54	80,47	79,46	78,52	77,56	76,22	74,64	73,06	71,50	69,78	68,20	67,06	66,38	66,15	65,86	66,39	67,32	69,10	71,76	74,94	77,71	80,36	82,67	84,60	86,30
     3 	b.047_CAL01-C03_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:23:36	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	88,57	-11,19	-9,69	14,80	220,88	0,00	0,00	0,00	0,00	36,46	54,25	75,68	86,65	89,30	88,73	88,12	87,90	86,92	85,85	84,70	83,45	81,93	80,20	78,30	75,80	72,77	69,74	66,25	62,65	59,17	56,52	54,83	53,82	52,89	52,90	53,55	55,65	59,38	64,01	68,81	73,37	77,53	81,19	84,56
     3 	b.047_CAL01-C03_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:23:36	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	86,28	-11,80	-9,99	15,46	220,26	0,00	0,00	0,00	0,00	31,35	49,18	70,67	81,71	84,43	83,92	83,36	83,18	82,22	81,19	80,06	78,80	77,26	75,53	73,62	71,12	68,08	65,04	61,54	57,92	54,44	51,80	50,11	49,11	48,20	48,24	48,93	51,07	54,84	59,53	64,37	68,97	73,18	76,86	80,27
     4 	b.048_CAL01-C04_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:23:46	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	84,94	-16,86	-13,86	21,83	219,42	0,00	0,00	0,00	0,00	35,03	51,80	72,13	82,99	86,12	86,00	85,76	85,73	84,66	83,56	82,19	80,54	78,36	75,88	72,92	69,14	64,74	60,51	55,72	50,85	46,44	43,20	41,10	39,81	38,66	38,31	38,99	41,26	45,19	50,40	56,15	61,84	67,41	72,35	77,26
     4 	b.048_CAL01-C04_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:23:46	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	82,46	-17,91	-14,43	23,00	218,85	0,00	0,00	0,00	0,00	29,94	46,75	67,14	78,06	81,25	81,20	81,00	81,02	79,98	78,89	77,55	75,89	73,69	71,20	68,22	64,42	60,00	55,76	50,94	46,05	41,63	38,38	36,29	35,00	33,88	33,56	34,27	36,59	40,56	45,83	51,64	57,37	62,99	67,96	72,89
     5 	b.049_CAL01-C05_wbg		SCI	CM-2600d	------	1004031	1.23	31/01/2022 17:23:58	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	81,03	-21,34	-17,49	27,59	219,33	0,00	0,00	0,00	0,00	33,37	48,98	68,06	78,28	81,68	81,89	81,98	81,99	80,88	79,85	78,02	76,17	73,68	70,48	66,66	61,85	56,44	51,30	46,02	40,64	35,84	32,35	30,44	29,15	27,97	27,52	28,21	30,16	34,02	39,24	45,25	51,34	57,55	63,41	69,54
     5 	b.049_CAL01-C05_wbg		SCE	CM-2600d	------	1004031	1.23	31/01/2022 17:23:58	31/01/2022 17:03:22	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	78,30	-22,87	-18,33	29,31	218,72	0,00	0,00	0,00	0,00	28,27	43,91	63,04	73,33	76,77	77,03	77,17	77,23	76,15	75,13	73,33	71,47	68,94	65,73	61,88	57,05	51,61	46,45	41,15	35,75	30,92	27,44	25,54	24,24	23,08	22,65	23,39	25,37	29,27	34,56	40,62	46,77	53,02	58,93	65,09
